iter	Passed	Remaining
0	0	91
1	1	76
2	2	70
3	2	64
4	3	61
5	3	61
6	4	58
7	5	57
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	44
22	12	43
23	13	42
24	13	41
25	14	40
26	14	39
27	15	39
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	17	34
34	18	34
35	18	33
36	19	32
37	19	31
38	19	31
39	20	30
40	20	29
41	21	29
42	21	28
43	21	27
44	22	27
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	30	13
69	31	13
70	31	12
71	31	12
72	32	11
73	32	11
74	32	10
75	33	10
76	33	10
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	37	4
90	38	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
