iter	Passed	Remaining
0	64	64698
1	67	33602
2	68	22676
3	69	17213
4	70	13937
5	70	11725
6	71	10135
7	72	8951
8	75	8324
9	76	7582
10	77	6967
11	78	6450
12	79	6055
13	81	5709
14	82	5417
15	83	5127
16	84	4869
17	85	4641
18	85	4433
19	86	4260
20	88	4142
21	89	3989
22	90	3842
23	91	3707
24	91	3583
25	92	3469
26	94	3402
27	96	3333
28	97	3248
29	100	3251
30	101	3171
31	102	3097
32	103	3023
33	103	2954
34	104	2888
35	105	2835
36	106	2784
37	107	2731
38	110	2722
39	114	2746
40	115	2705
41	122	2804
42	123	2748
43	123	2693
44	124	2643
45	124	2591
46	127	2581
47	127	2535
48	129	2517
49	130	2473
50	130	2429
51	130	2387
52	135	2421
53	136	2384
54	139	2399
55	140	2366
56	141	2339
57	143	2325
58	144	2304
59	145	2274
60	145	2240
61	146	2208
62	146	2177
63	149	2179
64	149	2150
65	150	2128
66	151	2106
67	152	2087
68	152	2059
69	152	2032
70	153	2005
71	153	1979
72	153	1954
73	154	1931
74	155	1912
75	155	1889
76	156	1880
77	157	1860
78	157	1840
79	158	1822
80	159	1804
81	159	1784
82	159	1764
83	160	1747
84	162	1749
85	162	1730
86	163	1712
87	163	1693
88	163	1676
89	164	1659
90	164	1642
91	164	1626
92	165	1610
93	167	1616
94	168	1602
95	168	1587
96	169	1573
97	169	1558
98	169	1544
99	170	1530
100	170	1518
101	171	1512
102	174	1523
103	175	1511
104	175	1498
105	177	1496
106	178	1488
107	178	1475
108	178	1462
109	179	1450
110	179	1438
111	179	1426
112	180	1414
113	180	1402
114	180	1391
115	181	1379
116	181	1367
117	181	1356
118	181	1346
119	182	1335
120	182	1324
121	182	1313
122	182	1303
123	183	1294
124	183	1285
125	183	1275
126	184	1265
127	186	1272
128	188	1273
129	189	1270
130	190	1262
131	190	1254
132	191	1246
133	191	1237
134	191	1228
135	192	1220
136	192	1211
137	192	1204
138	193	1196
139	193	1187
140	193	1179
141	193	1171
142	194	1164
143	194	1157
144	194	1149
145	195	1141
146	196	1142
147	197	1134
148	197	1127
149	197	1120
150	198	1114
151	198	1108
152	199	1102
153	199	1095
154	199	1088
155	199	1081
156	200	1074
157	200	1068
158	200	1061
159	201	1057
160	201	1051
161	202	1045
162	202	1039
163	202	1033
164	203	1030
165	203	1024
166	204	1018
167	204	1012
168	205	1009
169	205	1004
170	205	998
171	206	993
172	206	987
173	206	981
174	207	976
175	207	971
176	207	966
177	208	960
178	208	955
179	208	950
180	209	945
181	209	940
182	209	935
183	211	937
184	211	932
185	211	927
186	212	922
187	212	918
188	212	913
189	213	908
190	213	904
191	213	899
192	214	895
193	214	890
194	214	886
195	215	882
196	215	879
197	216	875
198	217	875
199	218	875
200	219	871
201	219	867
202	219	862
203	220	858
204	221	857
205	221	854
206	222	853
207	223	850
208	223	846
209	223	842
210	224	838
211	224	834
212	224	831
213	225	827
214	225	823
215	225	820
216	226	816
217	226	812
218	226	808
219	227	805
220	227	801
221	227	797
222	227	794
223	228	790
224	228	787
225	228	783
226	229	780
227	229	776
228	229	773
229	229	769
230	230	766
231	230	763
232	230	759
233	231	756
234	231	753
235	231	750
236	232	747
237	232	744
238	233	742
239	233	739
240	235	741
241	235	739
242	236	736
243	236	733
244	237	730
245	237	727
246	237	725
247	238	722
248	238	719
249	239	717
250	239	715
251	240	713
252	240	711
253	241	708
254	241	706
255	242	703
256	242	701
257	242	698
258	243	696
259	243	693
260	244	690
261	244	688
262	244	685
263	245	683
264	245	680
265	245	678
266	246	676
267	246	674
268	247	673
269	248	671
270	248	669
271	249	666
272	249	664
273	249	661
274	250	659
275	250	657
276	251	655
277	251	653
278	252	651
279	252	649
280	252	646
281	253	644
282	253	642
283	253	640
284	254	637
285	254	635
286	255	633
287	255	631
288	255	629
289	256	627
290	256	625
291	256	622
292	257	620
293	257	618
294	257	616
295	258	613
296	258	611
297	258	609
298	259	607
299	259	605
300	259	603
301	260	601
302	260	600
303	261	598
